,ID,sentiment,text
0,43b390b336,neutral,i checked. we didn`t win
1,5eea04087b,neutral,"sitting here, waiting to go to the gym.....almost left, then realized i never charged my ipod from my trip to wisconsin....it`s dead"
2,7a83b8c7e2,neutral,i feel sorry for my bestie good luck ali!
3,c9980ac0cd,positive,airsoft is so much fun! i play with my brothers and it`s a great bonding experience.
4,d18a55e49e,negative,alice doesn`t know what to wear to the cinema <3
5,6434edb2a5,negative,sad that david is leaving tomoro. for a week.
6,620741fc16,positive,yeah yesterday i turned 16. my parents rented me out a hummer limo. it was pretty cool
7,32739ec46e,neutral,wake~n~bake monday
8,8e4553e921,neutral,let`s go!
9,505f50a90d,negative,i considered being a nurse when i was younger but i really don`t think i could cope if a baby died
10,895de1648c,negative,"really tired. and have to work the whole day tomorrow, the thought of it depresses me. uncoooool...."
11,8534e70d73,neutral,going to work
12,16ca8a5ecc,neutral,the mediteranian kitchen...oh well can`t get them all right.
13,54a3eab849,positive,making german apple slice nom nom nom
14,a26a75179f,positive,_90 haha agreed lol
15,993c6eadd2,positive,"_d you`re gonna take good care of that little baby and he`s gonna be a strong boy, that`s for sure"
16,d0c092c3ee,negative,"sadly, i can`t view that site due to region restrictions"
17,63d6ff064f,neutral,after 11 months....back to twitter again
18,4d21d7611c,positive,he`s an amazing jockey! saw that clydesdale commercial too..loved it!
19,3ba9e80d1d,neutral,off to work i go
20,14c9c24f55,neutral,"if you had owned an *actual* cellphone, that would have been video, and called a 'qik'"
21,c5279762d3,neutral,watching gilmore girls reruns!! don`t know what else to do for the day
22,cf95521362,neutral,yes because those taxes disguise the booking fees and commissions that online travel portals charge. try ixigo.com next time
23,2524332d66,positive,i`m concerned for that family
24,4cc3d3824c,neutral,good morning from rsa twitterverse!! please send me some happy vibes & cheerfulness today i`m feeling a little sad
25,669c709c0b,negative,well that propels people to change direction. no point wasting your days on something you lost the passion for.
26,d7b287d1e7,neutral,where r all the 5am tweets from people...oh that`s right...they opened the #houseofrock last night so they`re still in bed
27,d9bc353713,neutral,farewelling an employee tonight...
28,f2a3b9d7f4,negative,tiiiired but i cant sleep
29,e056f0a268,neutral,"hey bud, we just shot you an email"
30,6bdd5e9d7e,neutral,trying to find someone to go to the mall with.
31,f4e8990f70,negative,sadly brother told me there are no skateparks where he lives. bummer!
32,b1999f0951,negative,now i have a sunburn
33,83e576fd29,negative,listening to busted - 3am. i miss them
34,80420cfe74,negative,oh no! my fun weekend with friends is gone! my mother has made a family weekend of it! ****
35,cad99e531f,positive,i so wish i could get pregnant!!
36,f9752f3768,negative,might have broken text messages.
37,49c713c76d,neutral,is it the bit where hollie started crying?
38,ed0ace22bf,neutral,u don`t have school today????
